,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,blue_top_lane_first_tower,blue_mid_lane_first_tower,blue_bot_lane_first_tower,red_top_lane_first_tower,red_mid_lane_first_tower,red_bot_lane_first_tower,blue_earth_dragon,blue_air_dragon,blue_fire_dragon,blue_water_dragon,blue_elder_dragon,red_earth_dragon,red_air_dragon,red_fire_dragon,red_water_dragon,red_elder_dragon,blueWins
17679,21239,2454,40,8.0,235,65,0,7,19,17,26,17,0,0,0,0,0,0,0,0,0,0,34381,3809,49,9.8,380,106,0,19,7,25,66,10,1,0,5,1,2,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
15012,30734,3009,50,10.0,357,76,0,19,10,31,39,11,1,0,1,0,1,0,0,0,1,0,23614,2635,44,8.8,303,70,0,10,19,11,43,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
15234,26237,2332,45,9.0,339,94,0,10,13,14,24,9,1,0,1,1,0,0,0,0,1,1,28441,1951,48,9.6,386,80,0,13,10,21,32,10,0,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
7407,26783,4333,46,9.2,360,68,0,10,14,14,33,16,0,0,0,0,0,0,0,0,0,0,28749,3169,47,9.4,367,92,0,14,10,19,65,16,1,0,3,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12544,24363,4338,45,9.0,397,66,0,8,3,10,36,14,0,0,0,0,0,0,0,0,0,1,21782,3947,46,9.2,367,90,0,3,8,3,31,15,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
7313,46008,5015,70,14.0,194,0,0,28,21,72,148,8,1,0,1,1,0,0,0,0,0,0,44485,6215,69,13.8,179,0,0,21,28,59,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2648,50943,5533,76,15.2,188,0,0,39,24,120,0,0,1,1,4,4,0,0,1,0,0,0,45125,2765,71,14.2,175,0,0,24,39,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2586,24817,2575,47,9.4,337,88,0,11,18,11,23,7,0,0,0,0,0,0,0,1,1,0,32714,1744,48,9.6,355,91,0,18,11,27,31,6,1,0,3,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
14328,5675,3175,14,2.8,41,14,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,4445,2445,13,2.6,29,17,0,0,2,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11009,24376,2496,45,9.0,323,53,0,10,22,16,24,6,0,0,0,0,0,0,0,1,1,0,33300,2811,47,9.4,323,70,0,22,10,30,36,4,1,0,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
